Iteration,Time,Residual
0, 0, 0
100, 0.125, 1.29263e-11
200, 0.25, 2.42845e-11
300, 0.375, 3.39427e-11
400, 0.5, 4.23328e-11
500, 0.625, 5.01178e-11
600, 0.75, 5.5404e-11
700, 0.875, 6.17046e-11
800, 1, 6.77366e-11
900, 1.125, 7.05238e-11
1000, 1.25, 7.52866e-11
1100, 1.375, 8.02325e-11
1200, 1.5, 8.18566e-11
1300, 1.625, 8.51939e-11
1400, 1.75, 8.89237e-11
1500, 1.875, 9.02976e-11
1600, 2, 9.36368e-11
1700, 2.125, 9.69688e-11
1800, 2.25, 9.74112e-11
1900, 2.375, 1.01058e-10
2000, 2.5, 1.03353e-10
2100, 2.625, 1.02927e-10
2200, 2.75, 1.05595e-10
2300, 2.875, 1.07171e-10
2400, 3, 1.07173e-10
2500, 3.125, 1.09347e-10
2600, 3.25, 1.10709e-10
2700, 3.375, 1.10661e-10
2800, 3.5, 1.11911e-10
2900, 3.625, 1.1236e-10
3000, 3.75, 1.12189e-10
3100, 3.875, 1.13904e-10
3200, 4, 1.14505e-10
3300, 4.125, 1.14713e-10
3400, 4.25, 1.15398e-10
3500, 4.375, 1.16551e-10
3600, 4.5, 1.16841e-10
3700, 4.625, 1.16612e-10
3800, 4.75, 1.17899e-10
3900, 4.875, 1.18574e-10
4000, 5, 1.18118e-10
4100, 5.125, 1.19698e-10
4200, 5.25, 1.20558e-10
4300, 5.375, 1.19477e-10
4400, 5.5, 1.21512e-10
4500, 5.625, 1.22084e-10
4600, 5.75, 1.20794e-10
4700, 5.875, 1.22868e-10
4800, 6, 1.22915e-10
4900, 6.125, 1.20819e-10
5000, 6.25, 1.23363e-10
5100, 6.375, 1.23924e-10
5200, 6.5, 1.22019e-10
5300, 6.625, 1.24911e-10
5400, 6.75, 1.25544e-10
5500, 6.875, 1.24124e-10
5600, 7, 1.26515e-10
5700, 7.125, 1.27021e-10
5800, 7.25, 1.25748e-10
5900, 7.375, 1.27961e-10
6000, 7.5, 1.28125e-10
6100, 7.625, 1.27413e-10
6200, 7.75, 1.29407e-10
6300, 7.875, 1.29292e-10
6400, 8, 1.28952e-10
6500, 8.125, 1.30524e-10
6600, 8.25, 1.30426e-10
6700, 8.375, 1.29836e-10
6800, 8.5, 1.31101e-10
6900, 8.625, 1.31149e-10
7000, 8.75, 1.30357e-10
7100, 8.875, 1.30992e-10
7200, 9, 1.31524e-10
7300, 9.125, 1.30253e-10
7400, 9.25, 1.30567e-10
7500, 9.375, 1.31571e-10
7600, 9.5, 1.29985e-10
7700, 9.625, 1.30156e-10
7800, 9.75, 1.30952e-10
7900, 9.875, 1.29747e-10
8000, 10, 1.29551e-10
8100, 10.125, 1.30423e-10
8200, 10.25, 1.29385e-10
8300, 10.375, 1.287e-10
8400, 10.5, 1.29891e-10
8500, 10.625, 1.29064e-10
8600, 10.75, 1.27987e-10
8700, 10.875, 1.29594e-10
8800, 11, 1.29124e-10
8900, 11.125, 1.27551e-10
9000, 11.25, 1.29937e-10
9100, 11.375, 1.29574e-10
9200, 11.5, 1.27788e-10
9300, 11.625, 1.30054e-10
9400, 11.75, 1.29793e-10
9500, 11.875, 1.28434e-10
9600, 12, 1.30189e-10
9700, 12.125, 1.29859e-10
9800, 12.25, 1.28843e-10
9900, 12.375, 1.30157e-10
10000, 12.5, 1.29868e-10
10100, 12.625, 1.29349e-10
10200, 12.75, 1.30161e-10
10300, 12.875, 1.30138e-10
10400, 13, 1.29464e-10
10500, 13.125, 1.30066e-10
10600, 13.25, 1.30421e-10
10700, 13.375, 1.29368e-10
10800, 13.5, 1.30092e-10
10900, 13.625, 1.30826e-10
11000, 13.75, 1.29604e-10
11100, 13.875, 1.30064e-10
11200, 14, 1.30949e-10
11300, 14.125, 1.29473e-10
11400, 14.25, 1.29828e-10
11500, 14.375, 1.30891e-10
11600, 14.5, 1.29302e-10
11700, 14.625, 1.29398e-10
11800, 14.75, 1.30197e-10
11900, 14.875, 1.29119e-10
12000, 15, 1.28733e-10
12100, 15.125, 1.29739e-10
12200, 15.25, 1.28966e-10
12300, 15.375, 1.28103e-10
12400, 15.5, 1.2948e-10
12500, 15.625, 1.29048e-10
12600, 15.75, 1.27504e-10
12700, 15.875, 1.29217e-10
12800, 16, 1.2902e-10
12900, 16.125, 1.27358e-10
13000, 16.25, 1.29778e-10
13100, 16.375, 1.2961e-10
13200, 16.5, 1.27892e-10
13300, 16.625, 1.29944e-10
13400, 16.75, 1.29729e-10
13500, 16.875, 1.28388e-10
13600, 17, 1.29861e-10
13700, 17.125, 1.29589e-10
13800, 17.25, 1.28629e-10
13900, 17.375, 1.29829e-10
14000, 17.5, 1.29629e-10
14100, 17.625, 1.291e-10
14200, 17.75, 1.29902e-10
14300, 17.875, 1.29997e-10
14400, 18, 1.29374e-10
14500, 18.125, 1.29956e-10
14600, 18.25, 1.30275e-10
14700, 18.375, 1.29334e-10
14800, 18.5, 1.29346e-10
14900, 18.625, 1.3014e-10
15000, 18.75, 1.29444e-10
15100, 18.875, 1.29009e-10
15200, 19, 1.31313e-10
15300, 19.125, 1.30147e-10
15400, 19.25, 1.29484e-10
15500, 19.375, 1.32218e-10
15600, 19.5, 1.28709e-10
15700, 19.625, 1.27394e-10
15800, 19.75, 1.29264e-10
15900, 19.875, 1.25494e-10
16000, 20, 1.25189e-10
16100, 20.125, 1.27375e-10
16200, 20.25, 1.25321e-10
16300, 20.375, 1.24711e-10
16400, 20.5, 1.27326e-10
16500, 20.625, 1.27455e-10
16600, 20.75, 1.28862e-10
16700, 20.875, 1.30857e-10
16800, 21, 1.29445e-10
16900, 21.125, 1.28815e-10
17000, 21.25, 1.31738e-10
17100, 21.375, 1.30857e-10
17200, 21.5, 1.28632e-10
17300, 21.625, 1.30605e-10
17400, 21.75, 1.30244e-10
17500, 21.875, 1.28545e-10
17600, 22, 1.31071e-10
17700, 22.125, 1.3005e-10
17800, 22.25, 1.28488e-10
17900, 22.375, 1.31699e-10
18000, 22.5, 1.30501e-10
18100, 22.625, 1.28938e-10
18200, 22.75, 1.30926e-10
18300, 22.875, 1.3034e-10
18400, 23, 1.2954e-10
18500, 23.125, 1.30285e-10
18600, 23.25, 1.30507e-10
18700, 23.375, 1.298e-10
18800, 23.5, 1.30307e-10
18900, 23.625, 1.30711e-10
19000, 23.75, 1.29924e-10
19100, 23.875, 1.30552e-10
19200, 24, 1.30884e-10
19300, 24.125, 1.3002e-10
19400, 24.25, 1.30853e-10
19500, 24.375, 1.31121e-10
19600, 24.5, 1.30641e-10
19700, 24.625, 1.31122e-10
19800, 24.75, 1.31406e-10
19900, 24.875, 1.30896e-10
20000, 25, 1.31208e-10
