Iteration,Time,Residual
0, 0, 0
100, 0.125, 2.51998e-10
200, 0.25, 4.84083e-10
300, 0.375, 6.57042e-10
400, 0.5, 8.11643e-10
500, 0.625, 9.89536e-10
600, 0.75, 1.14198e-09
700, 0.875, 1.22438e-09
800, 1, 1.3459e-09
900, 1.125, 1.49747e-09
1000, 1.25, 1.65026e-09
1100, 1.375, 1.73399e-09
1200, 1.5, 1.75081e-09
1300, 1.625, 1.89356e-09
1400, 1.75, 2.04734e-09
1500, 1.875, 2.13501e-09
1600, 2, 2.11527e-09
1700, 2.125, 2.18204e-09
1800, 2.25, 2.27893e-09
1900, 2.375, 2.35426e-09
2000, 2.5, 2.36226e-09
2100, 2.625, 2.30177e-09
2200, 2.75, 2.49338e-09
2300, 2.875, 2.52587e-09
2400, 3, 2.53494e-09
2500, 3.125, 2.47997e-09
2600, 3.25, 2.52123e-09
2700, 3.375, 2.61855e-09
2800, 3.5, 2.6485e-09
2900, 3.625, 2.64143e-09
3000, 3.75, 2.5363e-09
3100, 3.875, 2.64725e-09
3200, 4, 2.69681e-09
3300, 4.125, 2.7115e-09
3400, 4.25, 2.64812e-09
3500, 4.375, 2.60491e-09
3600, 4.5, 2.77709e-09
3700, 4.625, 2.71463e-09
3800, 4.75, 2.72558e-09
3900, 4.875, 2.64584e-09
4000, 5, 2.67825e-09
4100, 5.125, 2.7586e-09
4200, 5.25, 2.77757e-09
4300, 5.375, 2.74804e-09
4400, 5.5, 2.66745e-09
4500, 5.625, 2.83492e-09
4600, 5.75, 2.81268e-09
4700, 5.875, 2.8334e-09
4800, 6, 2.75106e-09
4900, 6.125, 2.74748e-09
5000, 6.25, 2.88692e-09
5100, 6.375, 2.84781e-09
5200, 6.5, 2.84711e-09
5300, 6.625, 2.77759e-09
5400, 6.75, 2.84401e-09
5500, 6.875, 2.90022e-09
5600, 7, 2.94396e-09
5700, 7.125, 2.87984e-09
5800, 7.25, 2.80902e-09
5900, 7.375, 3.01895e-09
6000, 7.5, 2.93748e-09
6100, 7.625, 2.9832e-09
6200, 7.75, 2.90715e-09
6300, 7.875, 2.91877e-09
6400, 8, 3.00448e-09
6500, 8.125, 3.02652e-09
6600, 8.25, 3.01029e-09
6700, 8.375, 2.87142e-09
6800, 8.5, 3.01562e-09
6900, 8.625, 3.03153e-09
7000, 8.75, 3.06228e-09
7100, 8.875, 2.96551e-09
7200, 9, 2.92373e-09
7300, 9.125, 3.09839e-09
7400, 9.25, 3.02133e-09
7500, 9.375, 3.04674e-09
7600, 9.5, 2.93158e-09
7700, 9.625, 2.98005e-09
7800, 9.75, 3.03298e-09
7900, 9.875, 3.07009e-09
8000, 10, 3.03777e-09
8100, 10.125, 2.90154e-09
8200, 10.25, 3.08489e-09
8300, 10.375, 3.04847e-09
8400, 10.5, 3.05796e-09
8500, 10.625, 2.96048e-09
8600, 10.75, 2.95617e-09
8700, 10.875, 3.05931e-09
8800, 11, 3.04993e-09
8900, 11.125, 3.05277e-09
9000, 11.25, 2.91914e-09
9100, 11.375, 3.00476e-09
9200, 11.5, 3.05443e-09
9300, 11.625, 3.08226e-09
9400, 11.75, 3.00607e-09
9500, 11.875, 2.92847e-09
9600, 12, 3.12059e-09
9700, 12.125, 3.04115e-09
9800, 12.25, 3.05936e-09
9900, 12.375, 2.95146e-09
10000, 12.5, 2.9823e-09
10100, 12.625, 3.03867e-09
10200, 12.75, 3.06649e-09
10300, 12.875, 3.04518e-09
10400, 13, 2.88913e-09
10500, 13.125, 3.04902e-09
10600, 13.25, 3.05589e-09
10700, 13.375, 3.06728e-09
10800, 13.5, 2.96649e-09
10900, 13.625, 2.93425e-09
11000, 13.75, 3.09236e-09
11100, 13.875, 3.03013e-09
11200, 14, 3.04198e-09
11300, 14.125, 2.90828e-09
11400, 14.25, 2.98455e-09
11500, 14.375, 3.03783e-09
11600, 14.5, 3.0709e-09
11700, 14.625, 3.00554e-09
11800, 14.75, 2.89964e-09
11900, 14.875, 3.09306e-09
12000, 15, 3.04622e-09
12100, 15.125, 3.05253e-09
12200, 15.25, 2.95424e-09
12300, 15.375, 2.96893e-09
12400, 15.5, 3.05318e-09
12500, 15.625, 3.05356e-09
12600, 15.75, 3.04658e-09
12700, 15.875, 2.89286e-09
12800, 16, 3.01628e-09
12900, 16.125, 3.05794e-09
13000, 16.25, 3.08924e-09
13100, 16.375, 2.99458e-09
13200, 16.5, 2.93655e-09
13300, 16.625, 3.11654e-09
13400, 16.75, 3.04601e-09
13500, 16.875, 3.06122e-09
13600, 17, 2.94797e-09
13700, 17.125, 2.99202e-09
13800, 17.25, 3.04233e-09
13900, 17.375, 3.0798e-09
14000, 17.5, 3.0569e-09
14100, 17.625, 2.89401e-09
14200, 17.75, 3.078e-09
14300, 17.875, 3.07464e-09
14400, 18, 3.06007e-09
14500, 18.125, 2.97368e-09
14600, 18.25, 2.95801e-09
14700, 18.375, 3.10749e-09
14800, 18.5, 3.14083e-09
14900, 18.625, 3.16269e-09
15000, 18.75, 3.03932e-09
15100, 18.875, 3.17207e-09
15200, 19, 3.25787e-09
15300, 19.125, 3.28336e-09
15400, 19.25, 3.29049e-09
15500, 19.375, 3.20858e-09
15600, 19.5, 3.49055e-09
15700, 19.625, 3.62166e-09
15800, 19.75, 3.8231e-09
15900, 19.875, 3.6494e-09
16000, 20, 3.5167e-09
16100, 20.125, 3.28261e-09
16200, 20.25, 3.03729e-09
16300, 20.375, 2.9915e-09
16400, 20.5, 3.01326e-09
16500, 20.625, 3.07611e-09
16600, 20.75, 3.21509e-09
16700, 20.875, 3.15815e-09
16800, 21, 3.12696e-09
16900, 21.125, 3.13535e-09
17000, 21.25, 3.00185e-09
17100, 21.375, 2.93969e-09
17200, 21.5, 3.03694e-09
17300, 21.625, 3.01982e-09
17400, 21.75, 2.96051e-09
17500, 21.875, 2.96375e-09
17600, 22, 3.01083e-09
17700, 22.125, 3.09035e-09
17800, 22.25, 3.10421e-09
17900, 22.375, 2.93325e-09
18000, 22.5, 3.07048e-09
18100, 22.625, 3.13509e-09
18200, 22.75, 3.10365e-09
18300, 22.875, 3.0465e-09
18400, 23, 2.99965e-09
18500, 23.125, 3.1195e-09
18600, 23.25, 3.10195e-09
18700, 23.375, 3.07211e-09
18800, 23.5, 2.97423e-09
18900, 23.625, 3.05294e-09
19000, 23.75, 3.10671e-09
19100, 23.875, 3.11554e-09
19200, 24, 3.08625e-09
19300, 24.125, 2.97607e-09
19400, 24.25, 3.06952e-09
19500, 24.375, 3.08842e-09
19600, 24.5, 3.10836e-09
19700, 24.625, 3.00334e-09
19800, 24.75, 2.98812e-09
19900, 24.875, 3.15602e-09
20000, 25, 3.02942e-09
20100, 25.125, 3.07583e-09
20200, 25.25, 2.98687e-09
20300, 25.375, 2.9729e-09
20400, 25.5, 3.02762e-09
20500, 25.625, 3.08895e-09
20600, 25.75, 2.97927e-09
20700, 25.875, 2.90891e-09
20800, 26, 3.10311e-09
20900, 26.125, 3.02602e-09
21000, 26.25, 3.06551e-09
21100, 26.375, 2.98519e-09
21200, 26.5, 2.98557e-09
21300, 26.625, 3.10343e-09
21400, 26.75, 3.08786e-09
21500, 26.875, 3.09251e-09
21600, 27, 2.9768e-09
21700, 27.125, 3.04133e-09
21800, 27.25, 3.09289e-09
21900, 27.375, 3.13807e-09
22000, 27.5, 3.03949e-09
22100, 27.625, 2.98221e-09
22200, 27.75, 3.18021e-09
22300, 27.875, 3.08497e-09
22400, 28, 3.10334e-09
22500, 28.125, 2.99706e-09
22600, 28.25, 3.03489e-09
22700, 28.375, 3.11062e-09
22800, 28.5, 3.13227e-09
22900, 28.625, 3.09127e-09
23000, 28.75, 2.96477e-09
23100, 28.875, 3.11637e-09
23200, 29, 3.1189e-09
23300, 29.125, 3.15093e-09
23400, 29.25, 3.03041e-09
23500, 29.375, 3.01118e-09
23600, 29.5, 3.19246e-09
23700, 29.625, 3.10811e-09
23800, 29.75, 3.11536e-09
23900, 29.875, 2.99372e-09
24000, 30, 3.0594e-09
24100, 30.125, 3.12947e-09
24200, 30.25, 3.17322e-09
24300, 30.375, 3.08785e-09
24400, 30.5, 3.0055e-09
24500, 30.625, 3.19588e-09
24600, 30.75, 3.1283e-09
24700, 30.875, 3.13876e-09
24800, 31, 3.03037e-09
24900, 31.125, 3.04694e-09
25000, 31.25, 3.15377e-09
25100, 31.375, 3.15466e-09
25200, 31.5, 3.13282e-09
25300, 31.625, 2.99081e-09
25400, 31.75, 3.09887e-09
25500, 31.875, 3.13364e-09
25600, 32, 3.17615e-09
25700, 32.125, 3.06455e-09
25800, 32.25, 3.01835e-09
25900, 32.375, 3.22749e-09
26000, 32.5, 3.13606e-09
26100, 32.625, 3.13919e-09
26200, 32.75, 3.04135e-09
26300, 32.875, 3.07295e-09
26400, 33, 3.13528e-09
26500, 33.125, 3.1895e-09
26600, 33.25, 3.14063e-09
26700, 33.375, 3.00253e-09
26800, 33.5, 3.18822e-09
26900, 33.625, 3.1792e-09
27000, 33.75, 3.18411e-09
27100, 33.875, 3.0797e-09
27200, 34, 3.08471e-09
27300, 34.125, 3.20414e-09
27400, 34.25, 3.18168e-09
27500, 34.375, 3.17887e-09
27600, 34.5, 3.04679e-09
27700, 34.625, 3.1181e-09
27800, 34.75, 3.18479e-09
27900, 34.875, 3.22589e-09
28000, 35, 3.13433e-09
28100, 35.125, 3.0702e-09
28200, 35.25, 3.27894e-09
28300, 35.375, 3.19365e-09
28400, 35.5, 3.20756e-09
28500, 35.625, 3.11094e-09
28600, 35.75, 3.13234e-09
28700, 35.875, 3.21983e-09
28800, 36, 3.26697e-09
28900, 36.125, 3.20492e-09
29000, 36.25, 3.07297e-09
29100, 36.375, 3.22479e-09
29200, 36.5, 3.224e-09
29300, 36.625, 3.25857e-09
29400, 36.75, 3.16302e-09
29500, 36.875, 3.10527e-09
29600, 37, 3.29331e-09
29700, 37.125, 3.24094e-09
29800, 37.25, 3.20754e-09
29900, 37.375, 3.11474e-09
30000, 37.5, 3.18198e-09
30100, 37.625, 3.19971e-09
30200, 37.75, 3.25512e-09
30300, 37.875, 3.22781e-09
30400, 38, 3.06777e-09
30500, 38.125, 3.29169e-09
30600, 38.25, 3.26614e-09
30700, 38.375, 3.21268e-09
30800, 38.5, 3.17603e-09
30900, 38.625, 3.16535e-09
31000, 38.75, 3.22877e-09
31100, 38.875, 3.27888e-09
31200, 39, 3.26204e-09
31300, 39.125, 3.11219e-09
31400, 39.25, 3.25132e-09
31500, 39.375, 3.26158e-09
31600, 39.5, 3.27108e-09
31700, 39.625, 3.22877e-09
31800, 39.75, 3.13483e-09
31900, 39.875, 3.33641e-09
32000, 40, 3.29192e-09
32100, 40.125, 3.26312e-09
32200, 40.25, 3.16916e-09
32300, 40.375, 3.21145e-09
32400, 40.5, 3.23293e-09
32500, 40.625, 3.29464e-09
32600, 40.75, 3.29048e-09
32700, 40.875, 3.12154e-09
32800, 41, 3.3085e-09
32900, 41.125, 3.3065e-09
33000, 41.25, 3.27711e-09
33100, 41.375, 3.21218e-09
33200, 41.5, 3.17511e-09
33300, 41.625, 3.30705e-09
33400, 41.75, 3.29297e-09
33500, 41.875, 3.28408e-09
33600, 42, 3.14149e-09
33700, 42.125, 3.23312e-09
33800, 42.25, 3.25497e-09
33900, 42.375, 3.26978e-09
34000, 42.5, 3.24312e-09
34100, 42.625, 3.12463e-09
34200, 42.75, 3.32195e-09
34300, 42.875, 3.30219e-09
34400, 43, 3.26671e-09
34500, 43.125, 3.15932e-09
34600, 43.25, 3.18911e-09
34700, 43.375, 3.24368e-09
34800, 43.5, 3.25984e-09
34900, 43.625, 3.26859e-09
35000, 43.75, 3.08458e-09
35100, 43.875, 3.22659e-09
35200, 44, 3.26046e-09
35300, 44.125, 3.24771e-09
35400, 44.25, 3.2062e-09
35500, 44.375, 3.13908e-09
35600, 44.5, 3.29794e-09
35700, 44.625, 3.27399e-09
35800, 44.75, 3.28722e-09
35900, 44.875, 3.15601e-09
36000, 45, 3.24013e-09
36100, 45.125, 3.256e-09
36200, 45.25, 3.27821e-09
36300, 45.375, 3.29989e-09
36400, 45.5, 3.12342e-09
36500, 45.625, 3.2835e-09
36600, 45.75, 3.32505e-09
36700, 45.875, 3.29292e-09
36800, 46, 3.19347e-09
36900, 46.125, 3.21058e-09
37000, 46.25, 3.26098e-09
37100, 46.375, 3.28465e-09
37200, 46.5, 3.32864e-09
37300, 46.625, 3.13841e-09
37400, 46.75, 3.23987e-09
37500, 46.875, 3.29568e-09
37600, 47, 3.29589e-09
37700, 47.125, 3.26348e-09
37800, 47.25, 3.15953e-09
37900, 47.375, 3.31609e-09
38000, 47.5, 3.29401e-09
38100, 47.625, 3.29945e-09
38200, 47.75, 3.18192e-09
38300, 47.875, 3.2355e-09
38400, 48, 3.24561e-09
38500, 48.125, 3.27904e-09
38600, 48.25, 3.31317e-09
38700, 48.375, 3.10706e-09
38800, 48.5, 3.25647e-09
38900, 48.625, 3.30894e-09
39000, 48.75, 3.29246e-09
39100, 48.875, 3.21568e-09
39200, 49, 3.17658e-09
39300, 49.125, 3.29288e-09
39400, 49.25, 3.27417e-09
39500, 49.375, 3.30609e-09
39600, 49.5, 3.1578e-09
39700, 49.625, 3.22608e-09
39800, 49.75, 3.26617e-09
39900, 49.875, 3.28389e-09
40000, 50, 3.29573e-09
40100, 50.125, 3.14217e-09
40200, 50.25, 3.30229e-09
40300, 50.375, 3.3118e-09
40400, 50.5, 3.31075e-09
40500, 50.625, 3.20678e-09
40600, 50.75, 3.21496e-09
40700, 50.875, 3.27679e-09
40800, 51, 3.28916e-09
40900, 51.125, 3.32827e-09
41000, 51.25, 3.16174e-09
41100, 51.375, 3.25159e-09
41200, 51.5, 3.31815e-09
41300, 51.625, 3.33073e-09
41400, 51.75, 3.27616e-09
41500, 51.875, 3.18965e-09
41600, 52, 3.34205e-09
41700, 52.125, 3.31188e-09
41800, 52.25, 3.3373e-09
41900, 52.375, 3.20988e-09
42000, 52.5, 3.25861e-09
42100, 52.625, 3.28599e-09
42200, 52.75, 3.32019e-09
42300, 52.875, 3.33343e-09
42400, 53, 3.14838e-09
42500, 53.125, 3.30121e-09
42600, 53.25, 3.34032e-09
42700, 53.375, 3.3218e-09
42800, 53.5, 3.23721e-09
42900, 53.625, 3.20652e-09
43000, 53.75, 3.30983e-09
43100, 53.875, 3.29826e-09
43200, 54, 3.32515e-09
43300, 54.125, 3.1623e-09
43400, 54.25, 3.25486e-09
43500, 54.375, 3.28891e-09
43600, 54.5, 3.31131e-09
43700, 54.625, 3.29178e-09
43800, 54.75, 3.16317e-09
43900, 54.875, 3.33107e-09
44000, 55, 3.329e-09
44100, 55.125, 3.31874e-09
44200, 55.25, 3.22153e-09
44300, 55.375, 3.25512e-09
44400, 55.5, 3.28868e-09
44500, 55.625, 3.31813e-09
44600, 55.75, 3.35083e-09
44700, 55.875, 3.15658e-09
44800, 56, 3.28098e-09
44900, 56.125, 3.35533e-09
45000, 56.25, 3.34747e-09
45100, 56.375, 3.29316e-09
45200, 56.5, 3.2411e-09
45300, 56.625, 3.35753e-09
45400, 56.75, 3.32888e-09
45500, 56.875, 3.35774e-09
45600, 57, 3.21835e-09
45700, 57.125, 3.29565e-09
45800, 57.25, 3.35362e-09
45900, 57.375, 3.37049e-09
46000, 57.5, 3.3977e-09
46100, 57.625, 3.22965e-09
46200, 57.75, 3.38493e-09
46300, 57.875, 3.42713e-09
46400, 58, 3.38543e-09
46500, 58.125, 3.2953e-09
46600, 58.25, 3.30881e-09
46700, 58.375, 3.44219e-09
46800, 58.5, 3.46418e-09
46900, 58.625, 3.50331e-09
47000, 58.75, 3.34084e-09
47100, 58.875, 3.47866e-09
