Iteration,Time,Residual
0, 0, 0
100, 0.125, 2.84093e-11
200, 0.25, 5.73993e-11
300, 0.375, 7.91292e-11
400, 0.5, 9.89912e-11
500, 0.625, 1.17834e-10
600, 0.75, 1.31952e-10
700, 0.875, 1.45948e-10
800, 1, 1.61572e-10
900, 1.125, 1.68786e-10
1000, 1.25, 1.81628e-10
1100, 1.375, 1.92446e-10
1200, 1.5, 1.99784e-10
1300, 1.625, 2.04237e-10
1400, 1.75, 2.18381e-10
1500, 1.875, 2.26132e-10
1600, 2, 2.28905e-10
1700, 2.125, 2.39716e-10
1800, 2.25, 2.46029e-10
1900, 2.375, 2.5009e-10
2000, 2.5, 2.54743e-10
2100, 2.625, 2.60638e-10
2200, 2.75, 2.61362e-10
2300, 2.875, 2.65423e-10
2400, 3, 2.72836e-10
2500, 3.125, 2.73554e-10
2600, 3.25, 2.74671e-10
2700, 3.375, 2.74862e-10
2800, 3.5, 2.78636e-10
2900, 3.625, 2.78129e-10
3000, 3.75, 2.7985e-10
3100, 3.875, 2.81785e-10
3200, 4, 2.82803e-10
3300, 4.125, 2.84295e-10
3400, 4.25, 2.84503e-10
3500, 4.375, 2.88016e-10
3600, 4.5, 2.87234e-10
3700, 4.625, 2.87756e-10
3800, 4.75, 2.90382e-10
3900, 4.875, 2.92043e-10
4000, 5, 2.93659e-10
4100, 5.125, 2.9258e-10
4200, 5.25, 2.95079e-10
4300, 5.375, 2.95983e-10
4400, 5.5, 2.96509e-10
4500, 5.625, 2.98846e-10
4600, 5.75, 2.99845e-10
4700, 5.875, 3.01899e-10
4800, 6, 3.00227e-10
4900, 6.125, 3.01973e-10
5000, 6.25, 3.0357e-10
5100, 6.375, 3.05148e-10
5200, 6.5, 3.07224e-10
5300, 6.625, 3.07536e-10
5400, 6.75, 3.07955e-10
5500, 6.875, 3.06412e-10
5600, 7, 3.05545e-10
5700, 7.125, 3.07509e-10
5800, 7.25, 3.08135e-10
5900, 7.375, 3.10779e-10
6000, 7.5, 3.10337e-10
6100, 7.625, 3.11618e-10
6200, 7.75, 3.10419e-10
6300, 7.875, 3.08196e-10
6400, 8, 3.11643e-10
6500, 8.125, 3.10347e-10
6600, 8.25, 3.13506e-10
6700, 8.375, 3.13112e-10
6800, 8.5, 3.15112e-10
6900, 8.625, 3.14585e-10
7000, 8.75, 3.11744e-10
7100, 8.875, 3.15338e-10
7200, 9, 3.11485e-10
7300, 9.125, 3.14984e-10
7400, 9.25, 3.15454e-10
7500, 9.375, 3.17289e-10
7600, 9.5, 3.16679e-10
7700, 9.625, 3.14497e-10
7800, 9.75, 3.17201e-10
7900, 9.875, 3.11869e-10
8000, 10, 3.15315e-10
8100, 10.125, 3.15708e-10
8200, 10.25, 3.17146e-10
8300, 10.375, 3.18031e-10
8400, 10.5, 3.1607e-10
8500, 10.625, 3.17646e-10
8600, 10.75, 3.12251e-10
8700, 10.875, 3.14312e-10
8800, 11, 3.1584e-10
8900, 11.125, 3.17525e-10
9000, 11.25, 3.19704e-10
9100, 11.375, 3.17887e-10
9200, 11.5, 3.19884e-10
9300, 11.625, 3.14701e-10
9400, 11.75, 3.14929e-10
9500, 11.875, 3.17269e-10
9600, 12, 3.18181e-10
9700, 12.125, 3.20677e-10
9800, 12.25, 3.19489e-10
9900, 12.375, 3.20146e-10
10000, 12.5, 3.16305e-10
10100, 12.625, 3.14667e-10
10200, 12.75, 3.1673e-10
10300, 12.875, 3.17212e-10
10400, 13, 3.20534e-10
10500, 13.125, 3.19085e-10
10600, 13.25, 3.20324e-10
10700, 13.375, 3.17755e-10
10800, 13.5, 3.14878e-10
10900, 13.625, 3.17563e-10
11000, 13.75, 3.16769e-10
11100, 13.875, 3.20469e-10
11200, 14, 3.19371e-10
11300, 14.125, 3.21007e-10
11400, 14.25, 3.19475e-10
11500, 14.375, 3.16574e-10
11600, 14.5, 3.18735e-10
11700, 14.625, 3.16248e-10
11800, 14.75, 3.20022e-10
11900, 14.875, 3.19208e-10
12000, 15, 3.21507e-10
12100, 15.125, 3.20922e-10
12200, 15.25, 3.17919e-10
12300, 15.375, 3.1959e-10
12400, 15.5, 3.15413e-10
12500, 15.625, 3.18605e-10
12600, 15.75, 3.18964e-10
12700, 15.875, 3.21733e-10
12800, 16, 3.21821e-10
12900, 16.125, 3.1924e-10
13000, 16.25, 3.20467e-10
13100, 16.375, 3.15491e-10
13200, 16.5, 3.17559e-10
13300, 16.625, 3.18841e-10
13400, 16.75, 3.20469e-10
13500, 16.875, 3.21673e-10
13600, 17, 3.2043e-10
13700, 17.125, 3.22064e-10
13800, 17.25, 3.17891e-10
13900, 17.375, 3.18533e-10
14000, 17.5, 3.21045e-10
14100, 17.625, 3.23892e-10
14200, 17.75, 3.28566e-10
14300, 17.875, 3.29292e-10
14400, 18, 3.32081e-10
14500, 18.125, 3.35982e-10
14600, 18.25, 3.42979e-10
14700, 18.375, 3.59709e-10
14800, 18.5, 3.7638e-10
14900, 18.625, 3.89132e-10
15000, 18.75, 3.96498e-10
15100, 18.875, 4.00357e-10
15200, 19, 4.04774e-10
15300, 19.125, 3.97069e-10
15400, 19.25, 4.12456e-10
15500, 19.375, 4.21883e-10
15600, 19.5, 4.27963e-10
15700, 19.625, 4.32777e-10
15800, 19.75, 4.31065e-10
15900, 19.875, 4.26436e-10
16000, 20, 4.22582e-10
16100, 20.125, 4.21597e-10
16200, 20.25, 4.29203e-10
16300, 20.375, 4.16378e-10
16400, 20.5, 4.15394e-10
16500, 20.625, 4.27201e-10
16600, 20.75, 4.16147e-10
16700, 20.875, 4.00786e-10
16800, 21, 3.98251e-10
16900, 21.125, 3.91821e-10
17000, 21.25, 3.75344e-10
17100, 21.375, 3.69637e-10
17200, 21.5, 3.61011e-10
17300, 21.625, 3.51668e-10
17400, 21.75, 3.61049e-10
17500, 21.875, 3.53243e-10
17600, 22, 3.5085e-10
17700, 22.125, 3.46269e-10
17800, 22.25, 3.47297e-10
17900, 22.375, 3.41382e-10
18000, 22.5, 3.38428e-10
18100, 22.625, 3.43445e-10
18200, 22.75, 3.44247e-10
18300, 22.875, 3.4059e-10
18400, 23, 3.41423e-10
18500, 23.125, 3.4142e-10
18600, 23.25, 3.36528e-10
