1,0
0.9989,-0.0009
0.9957,-0.0014
0.9904,-0.0025
0.983,-0.0042
0.9735,-0.0064
0.9619,-0.0089
0.9484,-0.012
0.933,-0.0155
0.9157,-0.0195
0.8967,-0.024
0.8759,-0.0291
0.8536,-0.0347
0.8297,-0.041
0.8044,-0.0479
0.7778,-0.0554
0.75,-0.0634
0.7211,-0.0721
0.6913,-0.0815
0.6607,-0.0915
0.6294,-0.1019
0.5976,-0.1128
0.5653,-0.124
0.5327,-0.1353
0.5,-0.1466
0.4673,-0.1577
0.4347,-0.1683
0.4025,-0.178
0.3706,-0.187
0.3393,-0.1938
0.3087,-0.1985
0.2789,-0.2006
0.25,-0.2007
0.2222,-0.1985
0.1956,-0.1943
0.1703,-0.188
0.1465,-0.1797
0.1241,-0.17
0.1033,-0.1584
0.0843,-0.1458
0.067,-0.1318
0.0516,-0.117
0.0381,-0.1007
0.0265,-0.0842
0.017,-0.0674
0.0096,-0.0498
0.0043,-0.031
0.0011,-0.0139
0,0
0.0011,0.0139
0.0043,0.031
0.0096,0.0498
0.017,0.0674
0.0265,0.0842
0.0381,0.1007
0.0516,0.117
0.067,0.1318
0.0843,0.1458
0.1033,0.1584
0.1241,0.17
0.1465,0.1797
0.1703,0.188
0.1956,0.1943
0.2222,0.1985
0.25,0.2007
0.2789,0.2006
0.3087,0.1985
0.3393,0.1938
0.3706,0.187
0.4025,0.178
0.4347,0.1683
0.4673,0.1577
0.5,0.1466
0.5327,0.1353
0.5653,0.124
0.5976,0.1128
0.6294,0.1019
0.6607,0.0915
0.6913,0.0815
0.7211,0.0721
0.75,0.0634
0.7778,0.0554
0.8044,0.0479
0.8297,0.041
0.8536,0.0347
0.8759,0.0291
0.8967,0.024
0.9157,0.0195
0.933,0.0155
0.9484,0.012
0.9619,0.0089
0.9735,0.0064
0.983,0.0042
0.9904,0.0025
0.9957,0.0014
0.9989,0.0009
