Iteration,Time,Residual
0, 0, 0
100, 0.125, 2.51998e-10
200, 0.25, 4.84083e-10
300, 0.375, 6.57042e-10
400, 0.5, 8.11643e-10
500, 0.625, 9.89536e-10
600, 0.75, 1.14198e-09
700, 0.875, 1.22438e-09
800, 1, 1.3459e-09
900, 1.125, 1.49747e-09
1000, 1.25, 1.65026e-09
1100, 1.375, 1.73399e-09
1200, 1.5, 1.75081e-09
1300, 1.625, 1.89356e-09
1400, 1.75, 2.04734e-09
1500, 1.875, 2.13501e-09
1600, 2, 2.11527e-09
1700, 2.125, 2.18204e-09
1800, 2.25, 2.27893e-09
1900, 2.375, 2.35426e-09
2000, 2.5, 2.36226e-09
2100, 2.625, 2.30177e-09
2200, 2.75, 2.49338e-09
2300, 2.875, 2.52587e-09
2400, 3, 2.53494e-09
2500, 3.125, 2.47997e-09
2600, 3.25, 2.52123e-09
2700, 3.375, 2.61855e-09
2800, 3.5, 2.6485e-09
2900, 3.625, 2.64143e-09
3000, 3.75, 2.5363e-09
3100, 3.875, 2.64725e-09
3200, 4, 2.69681e-09
3300, 4.125, 2.7115e-09
3400, 4.25, 2.64812e-09
3500, 4.375, 2.60491e-09
3600, 4.5, 2.77709e-09
3700, 4.625, 2.71463e-09
3800, 4.75, 2.72558e-09
3900, 4.875, 2.64584e-09
4000, 5, 2.67825e-09
4100, 5.125, 2.7586e-09
4200, 5.25, 2.77757e-09
4300, 5.375, 2.74804e-09
4400, 5.5, 2.66745e-09
4500, 5.625, 2.83492e-09
4600, 5.75, 2.81268e-09
4700, 5.875, 2.8334e-09
4800, 6, 2.75106e-09
4900, 6.125, 2.74748e-09
5000, 6.25, 2.88692e-09
5100, 6.375, 2.84781e-09
5200, 6.5, 2.84711e-09
5300, 6.625, 2.77759e-09
5400, 6.75, 2.84401e-09
5500, 6.875, 2.90022e-09
5600, 7, 2.94396e-09
5700, 7.125, 2.87984e-09
5800, 7.25, 2.80902e-09
5900, 7.375, 3.01895e-09
6000, 7.5, 2.93748e-09
6100, 7.625, 2.9832e-09
6200, 7.75, 2.90715e-09
6300, 7.875, 2.91877e-09
6400, 8, 3.00448e-09
6500, 8.125, 3.02652e-09
6600, 8.25, 3.01029e-09
6700, 8.375, 2.87142e-09
6800, 8.5, 3.01562e-09
6900, 8.625, 3.03153e-09
7000, 8.75, 3.06228e-09
7100, 8.875, 2.96551e-09
7200, 9, 2.92373e-09
7300, 9.125, 3.09839e-09
7400, 9.25, 3.02133e-09
7500, 9.375, 3.04674e-09
7600, 9.5, 2.93158e-09
7700, 9.625, 2.98005e-09
7800, 9.75, 3.03298e-09
7900, 9.875, 3.07009e-09
8000, 10, 3.03777e-09
8100, 10.125, 2.90154e-09
8200, 10.25, 3.08489e-09
8300, 10.375, 3.04847e-09
8400, 10.5, 3.05796e-09
8500, 10.625, 2.96048e-09
8600, 10.75, 2.95617e-09
8700, 10.875, 3.05931e-09
8800, 11, 3.04993e-09
8900, 11.125, 3.05277e-09
9000, 11.25, 2.91914e-09
9100, 11.375, 3.00476e-09
9200, 11.5, 3.05443e-09
9300, 11.625, 3.08226e-09
9400, 11.75, 3.00607e-09
9500, 11.875, 2.92847e-09
9600, 12, 3.12059e-09
9700, 12.125, 3.04115e-09
9800, 12.25, 3.05936e-09
9900, 12.375, 2.95146e-09
10000, 12.5, 2.9823e-09
