Iteration,Time,Residual
0, 0, 0
100, 0.125, 7.37986e-11
200, 0.25, 1.46276e-10
300, 0.375, 2.09018e-10
400, 0.5, 2.6561e-10
500, 0.625, 3.16425e-10
600, 0.75, 3.6346e-10
700, 0.875, 3.95725e-10
800, 1, 4.24513e-10
900, 1.125, 4.6212e-10
1000, 1.25, 5.13538e-10
1100, 1.375, 5.1833e-10
1200, 1.5, 5.28601e-10
1300, 1.625, 5.71071e-10
1400, 1.75, 6.15946e-10
1500, 1.875, 6.08745e-10
1600, 2, 6.24279e-10
1700, 2.125, 6.63332e-10
1800, 2.25, 6.99818e-10
1900, 2.375, 6.80703e-10
2000, 2.5, 6.97849e-10
2100, 2.625, 7.34501e-10
2200, 2.75, 7.59332e-10
2300, 2.875, 7.27026e-10
2400, 3, 7.49616e-10
2500, 3.125, 7.78052e-10
2600, 3.25, 7.99858e-10
2700, 3.375, 7.6052e-10
2800, 3.5, 7.77176e-10
2900, 3.625, 8.02329e-10
3000, 3.75, 8.17023e-10
3100, 3.875, 7.74991e-10
3200, 4, 7.94918e-10
3300, 4.125, 8.15804e-10
3400, 4.25, 8.35117e-10
3500, 4.375, 7.88633e-10
3600, 4.5, 8.10142e-10
3700, 4.625, 8.27892e-10
3800, 4.75, 8.44879e-10
3900, 4.875, 8.0256e-10
4000, 5, 8.30505e-10
4100, 5.125, 8.4768e-10
4200, 5.25, 8.58214e-10
4300, 5.375, 8.18862e-10
4400, 5.5, 8.47332e-10
4500, 5.625, 8.63327e-10
4600, 5.75, 8.7405e-10
4700, 5.875, 8.32366e-10
4800, 6, 8.6437e-10
4900, 6.125, 8.76208e-10
5000, 6.25, 8.871e-10
5100, 6.375, 8.52399e-10
5200, 6.5, 8.85763e-10
5300, 6.625, 8.9619e-10
5400, 6.75, 9.01499e-10
5500, 6.875, 8.67109e-10
5600, 7, 9.01139e-10
5700, 7.125, 9.09066e-10
5800, 7.25, 9.09467e-10
5900, 7.375, 8.76639e-10
6000, 7.5, 9.0882e-10
6100, 7.625, 9.21361e-10
6200, 7.75, 9.18509e-10
6300, 7.875, 8.88281e-10
6400, 8, 9.22351e-10
6500, 8.125, 9.36978e-10
6600, 8.25, 9.31111e-10
6700, 8.375, 9.01017e-10
6800, 8.5, 9.34675e-10
6900, 8.625, 9.509e-10
7000, 8.75, 9.43314e-10
7100, 8.875, 9.13802e-10
7200, 9, 9.47432e-10
7300, 9.125, 9.59022e-10
7400, 9.25, 9.49842e-10
7500, 9.375, 9.19549e-10
7600, 9.5, 9.5359e-10
7700, 9.625, 9.64122e-10
7800, 9.75, 9.51904e-10
7900, 9.875, 9.22094e-10
8000, 10, 9.55349e-10
8100, 10.125, 9.67091e-10
8200, 10.25, 9.54769e-10
8300, 10.375, 9.23388e-10
8400, 10.5, 9.61092e-10
8500, 10.625, 9.68942e-10
8600, 10.75, 9.54514e-10
8700, 10.875, 9.26217e-10
8800, 11, 9.64542e-10
8900, 11.125, 9.72882e-10
9000, 11.25, 9.54068e-10
9100, 11.375, 9.28948e-10
9200, 11.5, 9.67747e-10
9300, 11.625, 9.7513e-10
9400, 11.75, 9.53223e-10
9500, 11.875, 9.29068e-10
9600, 12, 9.71605e-10
9700, 12.125, 9.78228e-10
9800, 12.25, 9.51417e-10
9900, 12.375, 9.30527e-10
10000, 12.5, 9.74102e-10
