Iteration,Time,Residual
0, 0, 0
100, 0.125, 2.84093e-11
200, 0.25, 5.73993e-11
300, 0.375, 7.91292e-11
400, 0.5, 9.89912e-11
500, 0.625, 1.17834e-10
600, 0.75, 1.31952e-10
700, 0.875, 1.45948e-10
800, 1, 1.61572e-10
900, 1.125, 1.68786e-10
1000, 1.25, 1.81628e-10
1100, 1.375, 1.92446e-10
1200, 1.5, 1.99784e-10
1300, 1.625, 2.04237e-10
1400, 1.75, 2.18381e-10
1500, 1.875, 2.26132e-10
1600, 2, 2.28905e-10
1700, 2.125, 2.39716e-10
1800, 2.25, 2.46029e-10
1900, 2.375, 2.5009e-10
2000, 2.5, 2.54743e-10
2100, 2.625, 2.60638e-10
2200, 2.75, 2.61362e-10
2300, 2.875, 2.65423e-10
2400, 3, 2.72836e-10
2500, 3.125, 2.73554e-10
2600, 3.25, 2.74671e-10
2700, 3.375, 2.74862e-10
2800, 3.5, 2.78636e-10
2900, 3.625, 2.78129e-10
3000, 3.75, 2.7985e-10
3100, 3.875, 2.81785e-10
3200, 4, 2.82803e-10
3300, 4.125, 2.84295e-10
3400, 4.25, 2.84503e-10
3500, 4.375, 2.88016e-10
3600, 4.5, 2.87234e-10
3700, 4.625, 2.87756e-10
3800, 4.75, 2.90382e-10
3900, 4.875, 2.92043e-10
4000, 5, 2.93659e-10
4100, 5.125, 2.9258e-10
4200, 5.25, 2.95079e-10
4300, 5.375, 2.95983e-10
4400, 5.5, 2.96509e-10
4500, 5.625, 2.98846e-10
4600, 5.75, 2.99845e-10
4700, 5.875, 3.01899e-10
4800, 6, 3.00227e-10
4900, 6.125, 3.01973e-10
5000, 6.25, 3.0357e-10
5100, 6.375, 3.05148e-10
5200, 6.5, 3.07224e-10
5300, 6.625, 3.07536e-10
5400, 6.75, 3.07955e-10
5500, 6.875, 3.06412e-10
5600, 7, 3.05545e-10
5700, 7.125, 3.07509e-10
5800, 7.25, 3.08135e-10
5900, 7.375, 3.10779e-10
6000, 7.5, 3.10337e-10
6100, 7.625, 3.11618e-10
6200, 7.75, 3.10419e-10
6300, 7.875, 3.08196e-10
6400, 8, 3.11643e-10
6500, 8.125, 3.10347e-10
6600, 8.25, 3.13506e-10
6700, 8.375, 3.13112e-10
6800, 8.5, 3.15112e-10
6900, 8.625, 3.14585e-10
7000, 8.75, 3.11744e-10
7100, 8.875, 3.15338e-10
7200, 9, 3.11485e-10
7300, 9.125, 3.14984e-10
7400, 9.25, 3.15454e-10
7500, 9.375, 3.17289e-10
7600, 9.5, 3.16679e-10
7700, 9.625, 3.14497e-10
7800, 9.75, 3.17201e-10
7900, 9.875, 3.11869e-10
8000, 10, 3.15315e-10
8100, 10.125, 3.15708e-10
8200, 10.25, 3.17146e-10
8300, 10.375, 3.18031e-10
8400, 10.5, 3.1607e-10
8500, 10.625, 3.17646e-10
8600, 10.75, 3.12251e-10
8700, 10.875, 3.14312e-10
8800, 11, 3.1584e-10
8900, 11.125, 3.17525e-10
9000, 11.25, 3.19704e-10
9100, 11.375, 3.17887e-10
9200, 11.5, 3.19884e-10
9300, 11.625, 3.14701e-10
9400, 11.75, 3.14929e-10
9500, 11.875, 3.17269e-10
9600, 12, 3.18181e-10
9700, 12.125, 3.20677e-10
9800, 12.25, 3.19489e-10
9900, 12.375, 3.20146e-10
10000, 12.5, 3.16305e-10
