Time,Order
0.125,7.226751255361699
0.25,7.448079545556891
0.375,7.585116892693109
0.5,7.637259003390157
0.625,7.646761068626341
0.75,7.658384245866692
0.875,7.575403172879277
1.0,7.660841881175117
1.125,7.774291276536479
1.25,7.767537345563461
1.375,7.747611789094876
1.5,7.841277798616524
1.625,7.894860528782926
1.75,7.912161517561426
1.875,7.819321844996335
2.0,7.9088262985829925
2.125,8.08147949236992
2.25,7.985756455484243
2.375,7.793188980714402
2.5,8.023841005877495
2.625,8.148828862626178
2.75,7.991784063101611
2.875,7.905505103353791
3.0,8.097856807373407
3.125,8.14807923659635
3.25,8.05271441352679
3.375,7.964196775678419
3.5,8.089933546257498
3.625,8.185359923054138
3.75,8.084337493663451
3.875,7.935565924269386
4.0,8.100864727164
4.125,8.18542082129632
4.25,8.047582488039723
4.375,7.963305146459888
4.5,8.124091830148553
4.625,8.132061340216492
4.75,8.030566073512555
4.875,8.026350524952232
5.0,8.112538696163579
5.125,8.126899088960243
5.25,8.092569606857774
5.375,7.997248575674034
5.5,8.089259971712439
5.625,8.182397821736512
5.75,8.059204911678545
5.875,7.979433091433301
6.0,8.174955907811752
6.125,8.191858820010873
6.25,8.06046096500793
6.375,8.10416089528817
6.5,8.22970778025173
6.625,8.159964779894228
6.75,8.094172014380783
6.875,8.100025874689829
7.0,8.205253293694085
7.125,8.183667765315498
7.25,8.075693048958192
7.375,8.042012090464633
7.5,8.218630517017333
7.625,8.171807465117512
7.75,8.025617080615286
7.875,8.097314342869224
8.0,8.247806003739964
8.125,8.16210484194248
8.25,8.095672800871979
8.375,8.135043945884256
8.5,8.228084269594872
8.625,8.235993217050778
8.75,8.173191654605917
8.875,8.155107544384842
9.0,8.304549427338843
9.125,8.31466744994083
9.25,8.158131870142599
9.375,8.187134598702288
9.5,8.379012163309088
9.625,8.315068135496507
9.75,8.166310276274789
9.875,8.254703868708361
10.0,8.374186011791437
10.125,8.305248710657212
10.25,8.231099720925771
10.375,8.244569793821409
10.5,8.368976890535068
10.625,8.360924410793306
10.75,8.2197567517332
10.875,8.23367308437902
11.0,8.417921836748917
11.125,8.342206796203484
11.25,8.181725260343377
11.375,8.267511777910105
11.5,8.39356077731113
11.625,8.299533267447996
11.75,8.234367237322447
11.875,8.253033089915068
12.0,8.345032495587576
12.125,8.337845736687708
12.25,8.215182791433529
12.375,8.198536179638499
12.5,8.390420791069046
12.625,8.355753662434127
12.75,8.177479216558275
12.875,8.243700553145644
13.0,8.408014115161691
13.125,8.308346634728801
13.25,8.203839524834773
13.375,8.279020312189427
13.5,8.393738926609519
13.625,8.330514069795173
13.75,8.242560074543368
13.875,8.264928151898854
14.0,8.398329285465888
14.125,8.362734880301348
14.25,8.228073048971124
14.375,8.29444665882016
14.5,8.447237268923566
14.625,8.339930728583033
14.75,8.242509101898406
14.875,8.34816878309119
15.0,8.412715014552882
15.125,8.319664850830113
15.25,8.293997034761908
15.375,8.326349518678299
15.5,8.382272605222377
15.625,8.365050729298034
15.75,8.264909198003867
15.875,8.285650565216764
16.0,8.421855447746468
16.125,8.330913058769259
16.25,8.206875024352971
16.375,8.3314793458573
16.5,8.403856519486316
16.625,8.257114415184661
16.75,8.254089876671497
16.875,8.335129122810438
17.0,8.338648657064589
17.125,8.281239175084375
17.25,8.262375083866308
17.375,8.320210113172587
17.5,8.369545854906374
17.625,8.285699419222773
17.75,8.24218147815896
17.875,8.358821085912583
18.0,8.391253145570802
18.125,8.257264593026582
18.25,8.27628508928992
18.375,8.343655103120236
18.5,8.27465066570921
18.625,8.182074805527776
18.75,8.198954272181314
18.875,8.209524212996865
19.0,8.190912798083442
19.125,8.128705377772604
19.25,8.066538671111784
19.375,8.122803447909947
19.5,8.083924391620396
19.625,7.921541719282181
19.75,7.92679205987763
19.875,8.168309440262378
20.0,8.14311943954192
20.125,8.044252031023017
20.25,8.128764092033556
20.375,8.327168379851337
20.5,8.26300917033048
20.625,8.104308440004365
20.75,8.101753788488969
20.875,8.233455123615485
21.0,8.269289450044987
21.125,8.121602967775178
21.25,8.108436989113832
21.375,8.258237470978152
21.5,8.28536133988616
21.625,8.197721481788014
21.75,8.278749536507148
21.875,8.32924247954626
22.0,8.214447028237501
22.125,8.257189396925302
22.25,8.344970472288887
22.375,8.340020702467001
22.5,8.288343643088961
22.625,8.273972141496728
22.75,8.320250293158892
22.875,8.3809641376298
23.0,8.26929435663724
23.125,8.25900448992117
23.25,8.380041130961278
23.375,8.368670923245718
23.5,8.243844448609542
23.625,8.287140854939583
23.75,8.393303587084135
23.875,8.334706580399782
24.0,8.263583197574006
24.125,8.323227289413069
24.25,8.395069129377644
24.375,8.368247616866203
24.5,8.270703533547922
24.625,8.26924933741155
24.75,8.411762282170688
24.875,8.390050980662782
25.0,8.2359663947338
