Iteration,Time,Residual
0, 0, 1.00849e-11
100, 0.125, 6.6564e-11
200, 0.25, 1.2383e-10
300, 0.375, 1.70558e-10
400, 0.5, 2.1397e-10
500, 0.625, 2.51818e-10
600, 0.75, 2.87168e-10
700, 0.875, 3.17798e-10
800, 1, 3.53169e-10
900, 1.125, 3.85642e-10
1000, 1.25, 4.12709e-10
1100, 1.375, 4.29804e-10
1200, 1.5, 4.59047e-10
1300, 1.625, 4.87484e-10
1400, 1.75, 5.02284e-10
1500, 1.875, 5.11364e-10
1600, 2, 5.43554e-10
1700, 2.125, 5.69933e-10
1800, 2.25, 5.73656e-10
1900, 2.375, 5.74056e-10
2000, 2.5, 6.07043e-10
2100, 2.625, 6.30904e-10
2200, 2.75, 6.27304e-10
2300, 2.875, 6.1941e-10
2400, 3, 6.51378e-10
2500, 3.125, 6.70814e-10
2600, 3.25, 6.60299e-10
2700, 3.375, 6.49216e-10
2800, 3.5, 6.76149e-10
2900, 3.625, 6.92068e-10
3000, 3.75, 6.78048e-10
3100, 3.875, 6.66232e-10
3200, 4, 6.92716e-10
3300, 4.125, 7.0574e-10
3400, 4.25, 6.95312e-10
3500, 4.375, 6.84118e-10
3600, 4.5, 7.07059e-10
3700, 4.625, 7.18678e-10
3800, 4.75, 7.07051e-10
3900, 4.875, 7.00042e-10
4000, 5, 7.2727e-10
4100, 5.125, 7.3629e-10
4200, 5.25, 7.2247e-10
4300, 5.375, 7.17622e-10
4400, 5.5, 7.42722e-10
4500, 5.625, 7.50506e-10
4600, 5.75, 7.37356e-10
4700, 5.875, 7.33938e-10
4800, 6, 7.57375e-10
4900, 6.125, 7.62655e-10
5000, 6.25, 7.52669e-10
5100, 6.375, 7.54398e-10
5200, 6.5, 7.79328e-10
5300, 6.625, 7.78377e-10
5400, 6.75, 7.64884e-10
5500, 6.875, 7.67832e-10
5600, 7, 7.94182e-10
5700, 7.125, 7.8871e-10
5800, 7.25, 7.73059e-10
5900, 7.375, 7.76539e-10
6000, 7.5, 8.03579e-10
6100, 7.625, 7.98363e-10
6200, 7.75, 7.81842e-10
6300, 7.875, 7.87193e-10
6400, 8, 8.1682e-10
6500, 8.125, 8.11733e-10
6600, 8.25, 7.93563e-10
6700, 8.375, 7.9888e-10
6800, 8.5, 8.26496e-10
6900, 8.625, 8.22229e-10
7000, 8.75, 8.0318e-10
7100, 8.875, 8.09996e-10
7200, 9, 8.34796e-10
7300, 9.125, 8.28096e-10
7400, 9.25, 8.07034e-10
7500, 9.375, 8.14016e-10
7600, 9.5, 8.39316e-10
7700, 9.625, 8.31709e-10
7800, 9.75, 8.08874e-10
7900, 9.875, 8.1522e-10
8000, 10, 8.40671e-10
8100, 10.125, 8.33265e-10
8200, 10.25, 8.1129e-10
8300, 10.375, 8.17301e-10
8400, 10.5, 8.43974e-10
8500, 10.625, 8.35055e-10
8600, 10.75, 8.11976e-10
8700, 10.875, 8.18685e-10
8800, 11, 8.45945e-10
8900, 11.125, 8.36479e-10
9000, 11.25, 8.13719e-10
9100, 11.375, 8.20035e-10
9200, 11.5, 8.48287e-10
9300, 11.625, 8.38134e-10
9400, 11.75, 8.149e-10
9500, 11.875, 8.21956e-10
9600, 12, 8.49068e-10
9700, 12.125, 8.38774e-10
9800, 12.25, 8.15266e-10
9900, 12.375, 8.22413e-10
10000, 12.5, 8.502e-10
10100, 12.625, 8.39154e-10
10200, 12.75, 8.16497e-10
10300, 12.875, 8.23649e-10
10400, 13, 8.50704e-10
10500, 13.125, 8.38989e-10
10600, 13.25, 8.1693e-10
10700, 13.375, 8.24705e-10
10800, 13.5, 8.50681e-10
10900, 13.625, 8.37876e-10
11000, 13.75, 8.16682e-10
11100, 13.875, 8.26114e-10
11200, 14, 8.50108e-10
11300, 14.125, 8.37695e-10
11400, 14.25, 8.17764e-10
11500, 14.375, 8.28012e-10
11600, 14.5, 8.50566e-10
11700, 14.625, 8.36633e-10
11800, 14.75, 8.19314e-10
11900, 14.875, 8.30154e-10
12000, 15, 8.49875e-10
12100, 15.125, 8.35419e-10
12200, 15.25, 8.18845e-10
12300, 15.375, 8.31848e-10
12400, 15.5, 8.48566e-10
12500, 15.625, 8.3358e-10
12600, 15.75, 8.19896e-10
12700, 15.875, 8.32582e-10
12800, 16, 8.48279e-10
12900, 16.125, 8.31662e-10
13000, 16.25, 8.20121e-10
13100, 16.375, 8.34739e-10
13200, 16.5, 8.47342e-10
13300, 16.625, 8.30437e-10
13400, 16.75, 8.23109e-10
13500, 16.875, 8.37704e-10
13600, 17, 8.45505e-10
13700, 17.125, 8.29263e-10
13800, 17.25, 8.24431e-10
13900, 17.375, 8.41069e-10
14000, 17.5, 8.45648e-10
14100, 17.625, 8.30626e-10
14200, 17.75, 8.29667e-10
14300, 17.875, 8.45747e-10
14400, 18, 8.52407e-10
14500, 18.125, 8.34919e-10
14600, 18.25, 8.34063e-10
14700, 18.375, 8.47844e-10
14800, 18.5, 8.45812e-10
14900, 18.625, 8.27425e-10
15000, 18.75, 8.28131e-10
15100, 18.875, 8.39549e-10
15200, 19, 8.37842e-10
15300, 19.125, 8.15752e-10
15400, 19.25, 8.14656e-10
15500, 19.375, 8.27117e-10
15600, 19.5, 8.09179e-10
15700, 19.625, 7.81607e-10
15800, 19.75, 7.8192e-10
15900, 19.875, 8.10545e-10
16000, 20, 8.07392e-10
16100, 20.125, 7.93569e-10
16200, 20.25, 8.01879e-10
16300, 20.375, 8.37911e-10
16400, 20.5, 8.34879e-10
16500, 20.625, 8.08267e-10
16600, 20.75, 8.16454e-10
16700, 20.875, 8.46957e-10
16800, 21, 8.42381e-10
16900, 21.125, 8.1562e-10
17000, 21.25, 8.20173e-10
17100, 21.375, 8.38006e-10
17200, 21.5, 8.37411e-10
17300, 21.625, 8.27875e-10
17400, 21.75, 8.39706e-10
17500, 21.875, 8.47544e-10
17600, 22, 8.33004e-10
17700, 22.125, 8.31214e-10
17800, 22.25, 8.5007e-10
17900, 22.375, 8.5803e-10
18000, 22.5, 8.40227e-10
18100, 22.625, 8.37529e-10
18200, 22.75, 8.5329e-10
18300, 22.875, 8.59243e-10
18400, 23, 8.38542e-10
18500, 23.125, 8.41632e-10
18600, 23.25, 8.57206e-10
18700, 23.375, 8.55829e-10
18800, 23.5, 8.37337e-10
18900, 23.625, 8.39484e-10
19000, 23.75, 8.60512e-10
19100, 23.875, 8.54134e-10
19200, 24, 8.34e-10
19300, 24.125, 8.44184e-10
19400, 24.25, 8.64697e-10
19500, 24.375, 8.56196e-10
19600, 24.5, 8.3489e-10
19700, 24.625, 8.41147e-10
19800, 24.75, 8.64795e-10
19900, 24.875, 8.55383e-10
20000, 25, 8.3182e-10
